README.mdiso3;year;month;fatalities
AFG;2018;11;2881.9523809523807
AFG;2018;12;2418.714285714286
AFG;2019;1;2209.7
AFG;2019;2;1704.4666666666667
AFG;2019;3;2441.333333333333
AFG;2019;4;2118.833333333333
AFG;2019;5;2799.1666666666665
AFG;2019;6;2761.5
AFG;2019;7;3802.983870967742
AFG;2019;8;2811.0994623655915
AFG;2019;9;3591.6071428571427
AFG;2019;10;2508.409523809524
AFG;2019;11;1636.2333333333331
AFG;2019;12;2049.6666666666665
AFG;2020;1;1680.3333333333333
AFG;2020;2;1274.0110375275938
AFG;2020;3;1455.9658192693869
AFG;2020;4;1373.9655344299651
AFG;2020;5;1512.4174321726127
AFG;2020;6;1788.464459161148
AFG;2020;7;1857.8423841059605
AFG;2020;8;1392.0
AFG;2020;9;1777.428571428571
AFG;2020;10;2631.126984126984
AFG;2020;11;2029.111111111111
AFG;2020;12;2065.333333333333
AFG;2021;1;2699.5
AFG;2021;2;2049.5
AFG;2021;3;1774.0
AFG;2021;4;2809.0
AFG;2021;5;4992.0
AFG;2021;6;7625.0
AFG;2021;7;8437.107287449393
AFG;2021;8;5122.352482665549
AFG;2021;9;541.3505747126437
AFG;2021;10;226.18965517241375
AFG;2021;11;71.0
AFG;2021;12;28.0
AGO;2003;8;19.254794520547943
AGO;2003;9;0.2465753424657534
AGO;2003;10;4.254794520547945
AGO;2003;11;0.2465753424657534
AGO;2003;12;3.254794520547945
AGO;2004;1;12.3551912568306
AGO;2004;2;2.26775956284153
AGO;2004;3;2.3551912568306013
AGO;2004;4;1.3114754098360657
AGO;2004;5;1.355191256830601
AGO;2004;6;1.3114754098360657
AGO;2004;7;3.355191256830601
AGO;2004;8;1.355191256830601
AGO;2004;9;2.3114754098360653
AGO;2004;10;3.355191256830601
AGO;2004;11;3.3114754098360653
AGO;2004;12;3.355191256830601
AGO;2005;1;
AGO;2005;2;
AGO;2005;3;
AGO;2005;4;9.0
AGO;2005;5;0.0
AGO;2005;6;
AGO;2005;7;
AGO;2005;8;4.0
AGO;2005;9;1.0
AGO;2005;10;
AGO;2005;11;1.0
AGO;2005;12;0.0
AGO;2006;1;0.0
AGO;2006;2;0.0
AGO;2006;3;
AGO;2006;4;
AGO;2006;5;
AGO;2006;6;
AGO;2006;7;0.0
AGO;2006;8;3.0
AGO;2006;9;
AGO;2006;10;
AGO;2006;11;
AGO;2006;12;0.0
AGO;2007;1;2.1232876712328768
AGO;2007;2;1.917808219178082
AGO;2007;3;2.1232876712328768
AGO;2007;4;2.054794520547945
AGO;2007;5;2.1232876712328768
AGO;2007;6;2.054794520547945
AGO;2007;7;2.1232876712328768
AGO;2007;8;2.1232876712328768
AGO;2007;9;2.054794520547945
AGO;2007;10;2.1232876712328768
AGO;2007;11;2.054794520547945
AGO;2007;12;3.1232876712328768
AGO;2008;1;1.0
AGO;2008;2;
AGO;2008;3;3.0
